시군명,사업장명,인허가일자,인허가취소일자,영업상태명,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지시설전화번호,소재지면적정보,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,업태구분명정보,X좌표값,Y좌표값,위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총종업원수,본사종업원수,공장사무소종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모정보,전통업소지정번호,전통업소주된음식,홈페이지URL
가평군,21세기 술노래룸,20060327,,영업/정상,영업,,,,,031 5826255,167.51,경기도 가평군 가평읍 가화로 113-1,경기도 가평군 가평읍 읍내리 468-21번지 ,12418,37.8297311,127.5132711,룸살롱,245122.659301055    ,480929.463586114    ,룸살롱,,,,,,,,,,,,,,Y,167.51,,,
가평군,I.M.F클럽가요주점,19890518,,폐업,폐업,20021015,,,,,,경기도 가평군 청평면 청평중앙로 57 (청평리),경기도 가평군 청평면 청평리 465-18번지 ,12452,37.7384346,127.4205120,룸살롱,237001.779763781    ,470753.38450769     ,룸살롱,,,,,,,,,,,,,,N,0,,,
가평군,V I P,19940902,,폐업,폐업,20151210,,,,031 5810308,97.20,"경기도 가평군 가평읍 보납로34번길 16 (, 406-1)","경기도 가평군 가평읍 읍내리 403번지 , 406-1 ",12419,37.8295091,127.5146099,비어(바)살롱,245240.045160165    ,480903.482430904    ,비어(바)살롱,,,,,,,,,,,,,,N,97.2,,,
가평군,VIP가요주점,20010621,,폐업,폐업,20050304,,,,031 5845105,122.88,,경기도 가평군 조종면 현리 480-3번지 ,12438,37.8082645,127.3520106,카바레,230934.83546183     ,478480.054704801    ,카바레,0,3,유흥업소밀집지역,관리,상수도전용,,,,,,,,,N,122.88,,,
가평군,가이아,20031218,,폐업,폐업,20050218,,,,031 5858886,112.10,경기도 가평군 조종면 조종새싹로4번길 15-9,경기도 가평군 조종면 현리 263-9번지 ,12437,37.8192087,127.3496998,룸살롱,230726.205118482    ,479693.750318244    ,룸살롱,,,,,,,,,,,,,,N,112.1,,,
가평군,가자가자노래바 유흥주점,20080429,,영업/정상,영업,,,,,031  5857812,94.70,경기도 가평군 설악면 신천중앙로 91 (외 2필지),경기도 가평군 설악면 신천리 408-27번지 외 2필지 ,12467,37.6766382,127.4930524,룸살롱,243432.314363567    ,463925.418629061    ,룸살롱,,,유흥업소밀집지역,,상수도전용,,,,,,,,,Y,94.7,,,
가평군,고고노래바,20080226,,영업/정상,영업,,,,,031 584 7866,98.00,"경기도 가평군 설악면 신천중앙로 91, B동 지하1층","경기도 가평군 설악면 신천리 408-27번지 외 2필지, B동 지하1층 ",12467,37.6766382,127.4930524,룸살롱,243432.314363567    ,463925.418629061    ,룸살롱,,,,,,,,,,,,,,Y,98,,,
가평군,고고노래장,20090312,,영업/정상,영업,,,,,031 584 0219,140.86,경기도 가평군 청평면 청평중앙로 14,경기도 가평군 청평면 청평리 436-2번지 ,12453,37.7359892256,127.4164823422,룸살롱,236648.452402803    ,470481.710100961    ,룸살롱,,,,,,,,,,,,,,Y,140.86,,,
가평군,고래고래가요주점,20070831,,영업/정상,영업,,,,,031 584 4776,71.17,"경기도 가평군 청평면 청평중앙로26번길 7, 지하1층",경기도 가평군 청평면 청평리 424-4번지 지하1층 ,12453,37.7361366416,127.4181167766,기타,236791.316996263    ,470497.810651678    ,기타,,,기타,,상수도전용,,,,,,,,,Y,71.17,,,
가평군,국빈,19981207,,영업/정상,영업,,,,,031 5855851,98.99,"경기도 가평군 조종면 조종희망로5번길 20, A동 지하1층","경기도 가평군 조종면 현리 262-35번지 외 1필지, A동 지하1층 ",12437,37.8198120809,127.3498162937,룸살롱,230737.871771121    ,479760.780806449    ,룸살롱,,,,,,,,,,,,,,Y,98.99,,,
