시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
가평군,씨유 뉴현리맹호,20200327,영업,,N,,,편의점,경기도 가평군 조종면 운악청계로 156,경기도 가평군 조종면 현리 74-18번지 ,12435,37.8340759014,127.3447067686
가평군,씨유 청평역점,20110211,영업,,N,,,편의점,경기도 가평군 청평면 잠곡로 36,경기도 가평군 청평면 청평리 388-10번지,12453,37.7371028,127.4225919
가평군,세븐일레븐(가평설악방주점),20160831,영업,,N,,,편의점,경기도 가평군 설악면 유명로 1641-5,경기도 가평군 설악면 신천리 601번지,12467,37.6752273,127.4856186
가평군,GS25남이섬,20151209,영업,,N,,,편의점,"경기도 가평군 가평읍 북한강변로 1054, 1층","경기도 가평군 가평읍 달전리 113-4번지 , 1층",12422,37.8065694,127.5252959
가평군,지에스25가평터미널,20180831,영업,,N,,,편의점,"경기도 가평군 가평읍 가화로 50, 1층",경기도 가평군 가평읍 대곡리 169-1번지 ,12419,37.8243149,127.5157212
가평군,CU가평수성가든점,20191231,영업,,N,,,편의점,"경기도 가평군 상면 비룡로 2088, 1층",경기도 가평군 상면 태봉리 355-5번지 ,12442,37.7972616333,127.3341218934
가평군,GS25 대성리점,20130426,영업,,N,,,편의점,경기도 가평군 청평면 경춘로 89,경기도 가평군 청평면 대성리 399-25번지,12457,37.6839428,127.3782382
가평군,바이더웨이 가평설악점,20090917,영업,,N,,,편의점,경기도 가평군 설악면 신천중앙로 114,경기도 가평군 설악면 신천리 432-6번지,12465,37.6777268,127.4912459
가평군,이마트24 가평현리점,20190624,영업,,N,,,편의점,"경기도 가평군 조종면 청군로 1229, 1층",경기도 가평군 조종면 현리 477-117번지 백운종합마트 ,12438,37.8144793,127.3495414
가평군,지에스25 가평신상리점,20190828,영업,,N,,,편의점,"경기도 가평군 조종면 운악청계로 348, 1층",경기도 가평군 조종면 신상리 131-1번지 ,12434,37.8464541636,127.3554286442
가평군,이마트24 유명산점,20190605,영업,,N,,,편의점,"경기도 가평군 설악면 유명산길 27, 1층",경기도 가평군 설악면 가일리 193-25번지 ,12473,37.5992917863,127.4927484539
가평군,세븐일레븐 조종현리점,20190906,영업,,N,,,편의점,"경기도 가평군 조종면 조종희망로 39, 1층",경기도 가평군 조종면 현리 278-2번지 ,12437,37.8201176601,127.3500675869
가평군,씨유설악신천점,20190904,영업,,N,,,편의점,경기도 가평군 설악면 신천중앙로 166,경기도 가평군 설악면 신천리 570-1번지 ,12465,37.6783616897,127.4858656306
가평군,이마트24 뮤직빌리지점,20190315,영업,,N,,,편의점,"경기도 가평군 가평읍 석봉로 73-1, 1층",경기도 가평군 가평읍 대곡리 145-4번지 1층 ,12416,37.8218694,127.5124901
가평군,이마트24청평대성점,20151110,영업,,N,,,편의점,경기도 가평군 청평면 청평중앙로 9-1,경기도 가평군 청평면 청평리 440-3번지,12452,37.7361347,127.4160860
가평군,씨유현리청군로점,20181210,영업,,N,,,편의점,"경기도 가평군 조종면 청군로 1185, 1층",경기도 가평군 조종면 현리 477-266번지 1층 ,12438,37.8110138,127.3515125
가평군,씨유현리희망로점,20190404,영업,,N,,,편의점,"경기도 가평군 조종면 조종희망로 5, 1층",경기도 가평군 조종면 현리 412-7번지 1층 ,12437,37.8182287,127.3490365
가평군,세븐일레븐가평도대리점,20190130,영업,,N,,,편의점,"경기도 가평군 북면 가화로 2463, 1층",경기도 가평군 북면 도대리 399-1번지 1층 ,12401,37.9597444,127.4719086
가평군,GS25가평조종점,20170504,영업,,N,,,편의점,"경기도 가평군 조종면 현창로 25, 1층",경기도 가평군 조종면 현리 410-18번지,12438,37.8169239,127.3485080
가평군,이마트24 가평가화로점,20190305,영업,,N,,,편의점,"경기도 가평군 가평읍 가화로 228, 1층",경기도 가평군 가평읍 읍내리 764-1번지 ,12412,37.8386491,127.5073003
