시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,문화체육업종명,공사립구분명,보험가입여부코드
가평군,VIP 당구장,20190408,,13,영업중,,,,12465,경기도 가평군 설악면 신천중앙로 108,경기도 가평군 설악면 신천리 432-16 ,12465,37.6775993839,127.4917668999,,243310.178351193    ,464019.918433695    ,당구장업,사립,
가평군,O.K당구장,20051024,,13,영업중,,,,12437,경기도 가평군 조종면 현창로38번길 19 (안경과사람들),경기도 가평군 조종면 현리 ,12437,37.8199040159,127.3491790567,,230744.71295300000  ,480066.25312500000  ,당구장업,사립,
가평군,SKY당구장,20171221,,13,영업중,,,,12418,"경기도 가평군 가평읍 보납로18번길 4, 쌈촌 2층",경기도 가평군 가평읍 읍내리 464-5 쌈촌 ,12418,37.8305453168,127.5124888142,,245042.477207959    ,481008.303396718    ,당구장업,사립,
가평군,신 당구클럽,20160219,,13,영업중,,031-582-3486,,12420,경기도 가평군 가평읍 오리나무길 11 (현대문구),경기도 가평군 가평읍 대곡리 234-3 ,12420,37.8265432503,127.5144312393,,245220.034507785    ,480565.232448423    ,당구장업,사립,
가평군,당구 이야기,20121122,,13,영업중,,031-582-0600,,477805,경기도 가평군 가평읍 가화로 2-48,경기도 가평군 가평읍 읍내리,477805,37.8357777,127.5108932,,,,당구장업,사립,
가평군,킹당구장,19960624,,13,영업중,,031-584-8909,,12452,경기도 가평군 청평면 잠곡로 11,경기도 가평군 청평면 청평리 416 ,477813,37.7371507995,127.4200543090,,236959.859211579    ,470605.72719054     ,당구장업,사립,
가평군,당구마을,20141113,,13,영업중,,031-581-0974,,12412,경기도 가평군 가평읍 가화로 132,경기도 가평군 가평읍 읍내리 446-5 ,477801,37.8313744595,127.5131139682,,245102.697306295    ,481102.990597353    ,당구장업,사립,
가평군,삼구사구 굴렁쇠당구장,19961126,,13,영업중,,031-582-2262,,12418,경기도 가평군 가평읍 보납로 14,경기도 가평군 가평읍 읍내리 461-1 ,477801,37.8308788626,127.5119206794,,244999.670315295    ,481044.810596821    ,당구장업,사립,
가평군,베스트장구장,20100112,,13,영업중,,031-581-6577,,,경기도 가평군 북면 화악산로 18 (목동리),경기도 가평군 북면 목동리 886-18번지,477842,37.8865851,127.5501872,,248335.711055832,487256.429147567,당구장업,사립,
가평군,프로당구장,20140702,,13,영업중,,031-585-1076,,12437,경기도 가평군 하면 현창로44번길 19,경기도 가평군 하면 현리 275-9 ,477834,37.8203726558,127.3491440165,,230740.88574600000  ,480119.82550600000  ,당구장업,사립,Y
가평군,갤럭시당구클럽,19990422,,13,영업중,,031-581-0330,,12414,경기도 가평군 가평읍 석봉로 209,경기도 가평군 가평읍 읍내리 637-6 ,477801,37.8338173901,127.5092732769,,244761.403866509    ,481369.982042247    ,당구장업,사립,
