시군명,시설구분명,공사립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
가평군,유치원,공립,가평유치원,031-582-4982,경기도 가평군 가평읍 읍내리 553번지 가평유치원,경기도 가평군 가평읍 향교로 23-3,12417,37.8304855886,127.5075514810
가평군,어린이집,민간,청심어린이집,031-589-9900,경기도 가평군 설악면 송산리 286번지 청심어린이집,경기도 가평군 설악면 미사리로286번길 16 청심어린이집,12461,37.6846458812,127.5230912718
가평군,유치원,공립,상면초등학교병설유치원,031-584-2927,경기도 가평군 상면 임초리 445-3번지 상면초등학교,경기도 가평군 상면 청군로 700-22,12447,37.7757901709,127.3711993679
가평군,유치원,공립,상천초등학교병설유치원,031-585-1366,경기도 가평군 청평면 상천리 1299-4번지 상천초등학교,경기도 가평군 청평면 상천역로19번길 38,12449,37.7706025752,127.4559794119
가평군,유치원,공립,율길초등학교병설유치원,031-584-6005,경기도 가평군 상면 율길리 454-1번지 율길초등학교 병설유치원,경기도 가평군 상면 청군로 2090,12441,37.8374192084,127.2883726006
가평군,유치원,사립,동산유치원,031-584-6057,경기도 가평군 청평면 청평리 470-12번지,경기도 가평군 청평면 청평중앙로 39-1,12452,37.7378281562,127.4187615325
가평군,유치원,공립,가평마장초등학교병설유치원,031-581-2755,경기도 가평군 가평읍 마장리 357번지 가평마장초등학교,경기도 가평군 가평읍 각담말길 15,12409,37.8599522344,127.5144681238
가평군,유치원,공립,대성초등학교병설유치원,031-584-0794,경기도 가평군 청평면 대성리 399-16번지 대성초등학교,경기도 가평군 청평면 경춘로 75,12457,37.6827196794,127.3775632570
가평군,유치원,공립,미원초등학교병설유치원,031-584-8718,경기도 가평군 설악면 신천리 439-2번지 미원초등학교,경기도 가평군 설악면 신천중앙로120번길 11,12465,37.6794161295,127.4901687622
가평군,유치원,공립,방일초등학교병설유치원,031-585-4661,경기도 가평군 설악면 방일리 50번지 방일초등학교,경기도 가평군 설악면 양방가루재길 76,12472,37.6290950508,127.4993897462
가평군,유치원,공립,상색초등학교병설유치원,031-582-2251,경기도 가평군 가평읍 상색리 171-2번지 상색초등학교,경기도 가평군 가평읍 태봉두밀로 34-31,12426,37.8051831310,127.4848848704
가평군,유치원,공립,연하초등학교병설유치원,031-585-2006,경기도 가평군 상면 연하리 452-1번지 연하초등학교,경기도 가평군 상면 비룡로 2199-19,12444,37.8029852943,127.3426748976
가평군,유치원,공립,조종초등학교병설유치원,031-585-0584,경기도 가평군 조종면 현리 276번지 조종초등학교,경기도 가평군 조종면 조종새싹로 13-9,12437,37.8209863258,127.3487882533
가평군,유치원,공립,청평초등학교병설유치원,031-585-0245,경기도 가평군 청평면 청평리 395번지 청평초등학교 병설유치원,경기도 가평군 청평면 잠곡로 27,12452,37.7375481592,127.4215053980
가평군,유치원,사립,청심유치원,031-589-9910,경기도 가평군 설악면 송산리 286번지 청심유치원 청심유치원,경기도 가평군 설악면 미사리로286번길 16,12461,37.6845827011,127.5229654820
가평군,어린이집,민간,해든나라어린이집,031-582-5795,경기도 가평군 가평읍 대곡리 310-3번지,경기도 가평군 가평읍 석봉로119번길 23-11,12416,37.8253450046,127.5094426612
가평군,어린이집,법인·단체,사랑의동산어린이집,031-584-6057,경기도 가평군 청평면 청평리 470-12번지 사랑의동산어린이집,경기도 가평군 청평면 청평중앙로 39-1 사랑의동산어린이집,12452,37.7379521606,127.4188503899
가평군,어린이집,사회복지법인,보람어린이집,031-585-6543,경기도 가평군 상면 항사리 546-1번지,경기도 가평군 상면 청군로 961-41,12445,37.7974331474,127.3631277858
가평군,어린이집,직장,꿈에그린어린이집,031-585-1002,경기도 가평군 조종면 현리 477-21번지 꿈에그린어린이집,경기도 가평군 조종면 청군로 1149 꿈에그린어린이집,12438,37.8078746701,127.3517368696
가평군,어린이집,직장,맹호어린이집,031-585-1133,경기도 가평군 조종면 현리 413-11번지 맹호어린이집,경기도 가평군 조종면 청군로 1208 맹호어린이집,12438,37.8136783572,127.3511003996
가평군,어린이집,가정,에코비해솔어린이집,031-581-1137,경기도 가평군 가평읍 읍내리 771-1번지 파란채아파트 103동 105호,경기도 가평군 가화로 223 파란채아파트  103-105,12414,37.8373507316,127.5065007048
가평군,어린이집,가정,햇살나무어린이집,031-585-3791,경기도 가평군 가평읍 대곡리 402-1번지 선힐아파트 102동 102호,경기도 가평군 가평읍 문화로 63 선힐아파트102동102호,12416,37.8188013714,127.5102712513
가평군,어린이집,민간,금빛어린이집,031-582-1678,경기도 가평군 가평읍 달전리 336-3번지,경기도 가평군 가평읍 강산길 25,12422,37.8141136245,127.5177690271
가평군,어린이집,민간,사무엘어린이집,031-582-6623,경기도 가평군 가평읍 읍내리 855-8번지,경기도 가평군 가평읍 석봉로191번길 52,12414,37.8322493949,127.5040910826
가평군,어린이집,민간,아이사랑아트스쿨어린이집,031-585-6968,경기도 가평군 청평면 청평리 79-100번지,경기도 가평군 시장중앙로 7  -20,12453,37.7349314665,127.4170718723
가평군,어린이집,국공립,북면어린이집,031-582-8357,경기도 가평군 북면 이곡리 11-6번지,경기도 가평군 북면 석장모루길 10,12407,37.8793606849,127.5469974701
가평군,어린이집,민간,해맑은어린이집,031-584-0661,경기도 가평군 청평면 청평리 837번지 청평삼성쉐르빌 관리동,경기도 가평군 강변나루로 54 청평삼성쉐르빌 관리동,12454,37.7322718122,127.4160421041
가평군,어린이집,민간,환두레어린이집,031-582-8605,경기도 가평군 가평읍 대곡리 442번지,경기도 가평군 가평읍 석봉로3번길 68-15,12416,37.8219383249,127.5043291248
가평군,어린이집,가정,리틀동화마을어린이집,031-584-2513,경기도 가평군 설악면 신천리 423-4번지 에코빌 나동 102호,경기도 가평군 설악면 신천중앙로120번길 20-39 에코빌 나동 102호,12465,37.6796274697,127.4928780654
가평군,어린이집,가정,앙쥬어린이집,031-584-3955,경기도 가평군 청평면 청평리 837번지 쉐르빌아파트 103동 101호,경기도 가평군 청평면 강변나루로 54 쉐르빌아파트 103동 101호,12454,37.7325157584,127.4168702887
가평군,어린이집,국공립,가평어린이집,031-582-3069,경기도 가평군 가평읍 읍내리 625-2번지,경기도 가평군 가평읍 가화로 163 경기도 가평군 가평읍 가화로163,12413,37.8337992141,127.5110120078
가평군,어린이집,국공립,조종어린이집,031-585-1105,경기도 가평군 조종면 현리 567-7번지 조종어린이집,경기도 가평군 조종면 조종희망로26번길 25 조종어린이집,12437,37.8187557962,127.3535102968
가평군,어린이집,민간,엔젤어린이집,031-585-9170,경기도 가평군 조종면 현리 244-14번지,경기도 가평군 조종면 연인산로 19-1,12437,37.8223675780,127.3515147198
가평군,어린이집,민간,또래아이사랑어린이집,031-585-0373,경기도 가평군 조종면 현리 232-3번지,경기도 가평군 조종면 조종새싹로 49,12437,37.8229676826,127.3485478795
가평군,어린이집,민간,에코비어린이집,031-585-4834,경기도 가평군 조종면 현리 323-4번지 에코비어린이집,경기도 가평군 조종면 청군로 1300 에코비어린이집,12437,37.8203504229,127.3458944736
가평군,어린이집,민간,통큰에듀파크어린이집,031-585-8745,경기도 가평군 청평면 청평리 626-10번지,경기도 가평군 청평면 구청평로 58,12454,37.7325676293,127.4137947124
가평군,어린이집,민간,홍익어린이집,031-581-2662,경기도 가평군 가평읍 대곡리 285-13번지,경기도 가평군 가평읍 석봉로153번길 16,12417,37.8286978976,127.5094999059
가평군,어린이집,법인·단체,청평어린이집,031-584-0237,경기도 가평군 청평면 청평리 349-2번지,경기도 가평군 청평면 잠곡로 59,12452,37.7378572688,127.4252857076
가평군,어린이집,가정,별담은어린이집,031-585-0677,경기도 가평군 가평읍 대곡리 402-1번지 선힐하이뷰 102동 103호,경기도 가평군 가평읍 문화로 63  선힐하이뷰 102동 103호,12416,37.8188013714,127.5102712513
가평군,어린이집,가정,꼬마별어린이집,031-585-0037,경기도 가평군 가평읍 읍내리 771-1번지 에이원파란채 101동 106호,"경기도 가평군 가평읍 가화로 223 101동 106호(읍내리, 에이원파란채)",12414,37.8380447540,127.5063189270
가평군,어린이집,가정,동화마을어린이집,031-584-2511,경기도 가평군 설악면 신천리 424번지 에코빌 B동 102호,경기도 가평군 설악면 신천중앙로120번길 20-45 에코빌 B동 102호,12465,37.6794471991,127.4928327199
가평군,어린이집,가정,쁘띠베베어린이집,031-584-1529,경기도 가평군 조종면 현리 311-9번지 쁘띠베베어린이집,경기도 가평군 조종면 청군로 1319 쁘띠베베어린이집,12438,37.8214657803,127.3441650748
가평군,어린이집,가정,생명의빛어린이집,031-585-6624,경기도 가평군 상면 연하리 174-16번지 생명의빛어린이집,경기도 가평군 상면 기와집길 4 생명의빛어린이집,12444,37.8055010328,127.3564559825
가평군,어린이집,가정,청구어린이집,031-584-0523,경기도 가평군 청평면 청평리 470-37번지 청구아파트 101동 103호,경기도 가평군 청평면 경춘로 819-21 청구아파트 101동 103호,12451,37.7386091934,127.4174990585
가평군,어린이집,국공립,설악어린이집,031-584-5687,경기도 가평군 설악면 신천리 156-5번지 설악어린이집,경기도 가평군 설악면 한서로 18-16 설악어린이집,12467,37.6753732549,127.4949650435
가평군,어린이집,국공립,청평새나래어린이집,031-584-5844,경기도 가평군 청평면 청평리 483-23번지 새나래어린이집,경기도 가평군 청평면 갈오현로 21 새나래어린이집,12451,37.7387884173,127.4160233953
가평군,어린이집,가정,ABC어린이집,031-585-0547,경기도 가평군 조종면 현리 233-7번지 차인빌딩,경기도 가평군 조종면 조종희망로 67,12437,37.8227435049,127.3494459801
가평군,어린이집,민간,두손어린이집,031-582-6336,경기도 가평군 가평읍 읍내리 273-7번지,경기도 가평군 가평읍 정간내로19번길 22,12412,37.8334653592,127.5144212233
가평군,어린이집,민간,세종대왕어린이집,031-585-3420,경기도 가평군 조종면 현리 222-11번지,경기도 가평군 조종면 조종새싹로 64,12437,37.8242565323,127.3485225201
가평군,어린이집,민간,예원어린이집,031-581-7292,경기도 가평군 가평읍 읍내리 741-5번지,경기도 가평군 가평읍 가화로 202,12412,37.8368367954,127.5092850197
