시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적(㎡),지상층수,지하층수,통로너비,조명시설조도량,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,제공게임물명,공연장형태구분명,품목명
가평군,씨랜드 게임장,20090709,20100209,31,등록취소,,,,,경기도 가평군 가평읍 가화로 138 (읍내리),경기도 가평군 가평읍 읍내리 443-17번지,12412,37.8316799,127.5126371,,245064.835143383,481144.51358676,청소년게임제공업,유통관련업,4,기타,아마존 어드밴처(40대),97.2,3,1,,,,,,,,,,,,,,,전체이용가,,
가평군,이찌방,20170929,,13,영업중,,,,12437,경기도 가평군 조종면 현창로38번길 4,경기도 가평군 조종면 현리 409-11번지,12437,37.8184343340,127.3487616566,,230717.76116800000  ,479904.21421400000  ,청소년게임제공업,유통관련업,,,엔슛/짱/러브푸시/티크레인/마트크레인/토이플러스,111.6,,,,,,,,,,,,,,,,,전체이용가,,
가평군,픽미업 인형뽑기,20190926,,13,영업중,,,,12452,경기도 가평군 청평면 청평중앙로 15,경기도 가평군 청평면 청평리 451-1번지 ,12452,37.7362953837,127.4165294235,,236653.376477151    ,470516.848095093    ,청소년게임제공업,유통관련업,1,,인형뽑기,50,1,,,,,,,,,,,,,,,,전체이용가,,
가평군,인형뽑기POP,20170202,,13,영업중,,,,12419,경기도 가평군 가평읍 가화로 110,경기도 가평군 가평읍 읍내리 474-18 ,12419,37.8295536883,127.5140909171,,245187.208950892    ,480898.49486774     ,청소년게임제공업,유통관련업,2,,자이언트 캡쳐,32.79,2,,,,,,,,,,,,,,,,전체이용가,,
가평군,겜박스,20161229,,13,영업중,,,,12437,경기도 가평군 조종면 현창로44번길 2-1,경기도 가평군 조종면 현리 265-8 ,12437,37.8188215343,127.3484768175,,230612.386177253    ,479639.823642046    ,청소년게임제공업,유통관련업,2,,러브푸시/짱/티크레인/마트크레인,40.98,1,,,,,,,,,,,,,,,,전체이용가,,
가평군,뽑기방,20161223,,03,폐업,20170905,,,12420,경기도 가평군 가평읍 오리나무길 9,경기도 가평군 가평읍 대곡리 234-1번지,12420,37.8266540,127.5144085,,245225.777663441,480587.629178906,청소년게임제공업,유통관련업,1,,인형뽑기,63.8,1,,,,,,,,,,,,,,,,,,
가평군,인형뽑기 노리터,20170721,,03,폐업,20190923,,,12452,경기도 가평군 청평면 청평중앙로 15,경기도 가평군 청평면 청평리 451-1번지,12452,37.7362953837,127.4165294235,,236653.376477151    ,470516.848095093    ,청소년게임제공업,유통관련업,1,기타,"코코짱,LOVE,펑펑DM",50,,,,,,,,,,,,,,,,,전체이용가,,
가평군,가평게임장,20111028,,03,폐업,20120220,,,,경기도 가평군 가평읍 보납로34번길 2 (읍내리),경기도 가평군 가평읍 읍내리 408-1번지,12419,37.8307361,127.5142209,,245206.405899688,481039.529639703,청소년게임제공업,유통관련업,,,피싱랜드,88.81,2,,,,,,,,,,,,,,,,전체이용가,,
가평군,대박게임장,20161129,,03,폐업,20170905,,,12420,"경기도 가평군 가평읍 오리나무길 29-9, 104호",경기도 가평군 가평읍 대곡리 230-3번지,12420,37.8249884,127.5141585,,245202.897129881,480399.438730518,청소년게임제공업,유통관련업,2,기타,"버블고래 20대, 리베로 20대",120,2,2,,,,,,,,,,,,,,,전체이용가,,
가평군,못된 강아지,20161215,,03,폐업,20200508,,,12420,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166-1번지 ,12420,37.8249298209,127.5150104334,,245272.399227679    ,480386.602337806    ,청소년게임제공업,유통관련업,3,,,59.81,3,1,,,,,,,,,,,,,,,전체이용가,,
가평군,켄싱턴 청평 전자유기장,20020112,,03,폐업,20150428,031-584-9380,,477821,경기도 가평군 상면 청군로 430,경기도 가평군 상면 덕현리 402-10번지,12446,37.7598549,127.3955416,,234790.352152881,473121.757310053,청소년게임제공업,유통관련업,,,,99,,1,,,,,,,,,,,,,,,,,
가평군,가평게임장,20121210,,03,폐업,20130328,,,477802,경기도 가평군 가평읍 보납로34번길 2,경기도 가평군 가평읍 읍내리 408-1번지,12419,37.8307361,127.5142209,,245206.405899688,481039.529639703,청소년게임제공업,유통관련업,3,기타,빠박이,145.6,2,,,,,,,,,,,,,,,,전체이용가,,
가평군,친구야놀자,20171114,,03,폐업,20200512,,,12414,경기도 가평군 가평읍 석봉로 207,경기도 가평군 가평읍 읍내리 615-9번지 ,12414,37.8334298253,127.5092618642,,244771.185694497    ,481320.644741957    ,청소년게임제공업,유통관련업,1,기타,,60,1,,,,,,,,,,,,,,,,전체이용가,,
가평군,혜성오락실,20080710,,03,폐업,20120416,582-5422,,477701,경기도 가평군 가평읍 오리나무길 37,경기도 가평군 가평읍 대곡리 173-22번지,12420,37.8241515,127.5139369,,245185.229322718,480310.162209296,청소년게임제공업,유통관련업,,,,92.29,,1,,70,,,,,,,,,,,,,전체이용가,,
가평군,드림오락실,20121120,,03,폐업,20130625,,,477854,경기도 가평군 설악면 유명로 1697,경기도 가평군 설악면 선촌리 459번지,12466,37.6772767,127.4823672,,242489.290259509,463991.003309775,청소년게임제공업,유통관련업,1,기타,아케이드게임,115.2,1,,,,,,,,,,,,,,,,전체이용가,,
가평군,뽀끼뽀끼,20111024,,03,폐업,20150421,031-582-2101,,,경기도 가평군 가평읍 굴다리길 11 (대곡리),경기도 가평군 가평읍 대곡리 240-1번지,12420,37.8258468,127.5135738,,245152.401645465,480497.207012433,청소년게임제공업,유통관련업,,,골드마스터,39.6,1,,,,,,,,,,,,,,,,전체이용가,,
가평군,멀티게임장,20170613,,03,폐업,20200217,,,12420,경기도 가평군 가평읍 가화로 55-10,경기도 가평군 가평읍 대곡리 168-5번지 ,12420,37.8248491952,127.5151002909,,245286.347012701    ,480387.227807933    ,청소년게임제공업,유통관련업,2,,,57.66,2,1,,,,,,,,,,,,,,,전체이용가,,
고양시,로얄게임장,20170526,20200120,31,등록취소,,,,10503,"경기도 고양시 덕양구 화신로 267, 203호 (화정동, 이프라자)",경기도 고양시 덕양구 화정동 1002-3번지 ,10503,37.6304386141,126.8315152547,,185062.235351276    ,458699.261420868    ,청소년게임제공업,유통관련업,,,,202.44,,,,,,,,,,,,,,,,,전체이용가,,
고양시,일산백경게임랜드,20170616,20171201,31,등록취소,,,,10342,"경기도 고양시 일산서구 원일로 81-1, 2층 (일산동)",경기도 고양시 일산서구 일산동 594-38번지 2층,10342,37.6861509,126.7714031,,179772.223119436,464895.366289231,청소년게임제공업,유통관련업,,,New 네이버스토리 ver.2,240.02,,,,,,,,,,,,,,,,,전체이용가,,
고양시,대박게임랜드,20171208,20180712,31,등록취소,,,,10461,"경기도 고양시 덕양구 호국로 769, 청하빌딩 2층 (주교동)",경기도 고양시 덕양구 주교동 609-4번지 청하빌딩,10461,37.6553818,126.8345403,,185334.144041867,461465.987677782,청소년게임제공업,유통관련업,,,희망5,214.13,,,,,,,,,,,,,,,,,전체이용가,,
고양시,뉴미스터손게임랜드,20170329,20170823,31,등록취소,,,,10342,"경기도 고양시 일산서구 원일로 92, 2층 (일산동)",경기도 고양시 일산서구 일산동 637-7번지 2층,10342,37.6855670,126.7722892,,179851.055693922,464828.811333018,청소년게임제공업,유통관련업,4,,네이버스토리,187.74,3,1,,,,,,,,,,,,,,,전체이용가,,
고양시,놀이터 게임랜드,20171130,20180529,31,등록취소,,,,10342,"경기도 고양시 일산서구 일청로 20, 2층 (일산동)",경기도 고양시 일산서구 일산동 617-22번지 2층,10342,37.6859604,126.7707688,,179714.437973696,464873.354234086,청소년게임제공업,유통관련업,2,,드래곤 오션,174.86,2,,,,,,,,,,,,,,,,전체이용가,,
고양시,스타게임랜드,20090109,20090313,31,등록취소,,,,,"경기도 고양시 덕양구 화중로 96  (화정동,우정프라자 2층 201호)",경기도 고양시 덕양구 화정동 968-4번지 우정프라자 2층 201호,10497,37.6356646,126.8317638,,185084.732080958,459277.257013878,청소년게임제공업,유통관련업,2,기타,,131.71,8,1,,,,,,,,,,,,,,,전체이용가,,
