시군명,학교구분명,공사립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
가평군,초등학교,공립,가평마장초등학교,031-582-2756,경기도 가평군 가평읍 마장리 357번지,경기도 가평군 가평읍 각담말길 15,12409,37.8599522344,127.5144681238
가평군,고등학교,사립,청심국제고등학교,031-589-8900,경기도 가평군 설악면 송산리 산102번지 청심국제중고등학교,경기도 가평군 설악면 미사리로 324-213,12461,37.6873354552,127.5379949704
가평군,초등학교,공립,목동초등학교명지분교장,031-581-0711,경기도 가평군 북면 적목리 160-1번지 목동초등학교명지분교,경기도 가평군 북면 가화로 2680,12400,37.9708312800,127.4543620735
가평군,초등학교,공립,미원초등학교장락분교장,031-584-2953,경기도 가평군 설악면 미사리 290-3번지 미원초등학교장락분교,경기도 가평군 설악면 미사리로 588,12462,37.7036421085,127.5401079304
가평군,초등학교,공립,청평초등학교,031-584-0280,경기도 가평군 청평면 청평리 395번지,경기도 가평군 청평면 잠곡로 27,12452,37.7375481592,127.4215053980
가평군,중학교,공립,가평중학교,031-580-3000,경기도 가평군 가평읍 대곡리 273번지,경기도 가평군 가평읍 광장로 10,12417,37.8269245961,127.5101850937
가평군,중학교,공립,청평중학교,031-584-2391,경기도 가평군 청평면 청평리 288번지 청평중학교,경기도 가평군 청평면 골안길 7,12451,37.7430510805,127.4220355931
가평군,고등학교,공립,설악고등학교,031-584-7780,경기도 가평군 설악면 신천리 72번지 설악중고등학교,경기도 가평군 설악면 한양부로 21-1,12465,37.6817788879,127.4939705178
가평군,고등학교,공립,청평고등학교,031-589-5501,경기도 가평군 청평면 청평리 70-5번지 청평고등학교,경기도 가평군 청평면 강변나루로40번길 23,12454,37.7309663860,127.4152065920
가평군,초등학교,공립,상면초등학교,031-584-2927,경기도 가평군 상면 임초리 445-3번지 상면초등학교,경기도 가평군 상면 청군로 700-22,12447,37.7757901709,127.3711993679
가평군,중학교,공립,조종중학교,031-589-7303,경기도 가평군 조종면 현리 438번지 조종중학교,경기도 가평군 조종면 연등윗길 22,12438,37.8137864429,127.3461767493
가평군,초등학교,공립,가평초등학교,031-582-2491,경기도 가평군 가평읍 읍내리 553번지,경기도 가평군 가평읍 향교로 23,12417,37.8304855886,127.5075514810
